Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015]
Ecuador,ECU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.88,3.93
"Egypt, Arab Rep.",EGY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.4111256,4.4111256
El Salvador,SLV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.16,3.853680638
Equatorial Guinea,GNQ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1,1
Eritrea,ERI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.72,1.72
Estonia,EST,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.43,4.784243603
Eswatini,SWZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,8.463333333,7.046891662
Ethiopia,ETH,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.96,3.074455296
Faroe Islands,FRO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Fiji,FJI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.638571429,3.955066248
Finland,FIN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.07,6.34778118
France,FRA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.1,4.935406534
French Polynesia,PYF,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.499851816,0.499851816
Gabon,GAB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.06,3.06
"Gambia, The",GMB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.46,2.66
Georgia,GEO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.907142857,1.76
Germany,DEU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.68,4.399374187
Ghana,GHA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.68,4.244262169
Gibraltar,GIB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Greece,GRC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.1,3.1
Greenland,GRL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Grenada,GRD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.75,3.75
Guam,GUM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,8.3161306,8.3161306
Guatemala,GTM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.88,2.98689448
Guinea,GIN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.67,2.243419932
Guinea-Bissau,GNB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.38,1.16
Guyana,GUY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.38,2.92
Haiti,HTI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.461652,1.461652
Honduras,HND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.77324644,6.33
"Hong Kong SAR, China",HKG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.001601533,2.829587531
Hungary,HUN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.55,4.44864373
Iceland,ISL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,8.06,7.461879186
India,IND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.08,3.08
Indonesia,IDN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.55,3.26727737
"Iran, Islamic Rep.",IRN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.11,2.673226743
Iraq,IRQ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.6,4.6
Ireland,IRL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.65,4.544745436
Isle of Man,IMN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Israel,ISR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.35,5.369750447
Italy,ITA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.12,3.897846092
Jamaica,JAM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.23,5.499320098
Japan,JPN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.075686552,2.859526433
Jordan,JOR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.583688648,3.309577643
Kazakhstan,KAZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.080599518,2.873088218
Kenya,KEN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.88,4.940268566
Kiribati,KIR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.1,6.1
"Korea, Dem. People's Rep.",PRK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
"Korea, Rep.",KOR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.04247732,4.63873508
Kosovo,XKX,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Kuwait,KWT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.19,3.19
Kyrgyz Republic,KGZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.81,5.249863821
Lao PDR,LAO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.490690256,2.613163608
Latvia,LVA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.389496862,4.498528108
Lebanon,LBN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.46,2.1
Lesotho,LSO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,8.972678907,7.079376174
Liberia,LBR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.66,3.66
Libya,LBY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.1374382,2.1374382
Liechtenstein,LIE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.800735389,3.062216215
Lithuania,LTU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.939561596,3.842985281
Luxembourg,LUX,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.920076241,5.424871935
"Macao SAR, China",MAC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.2,2.947496823
Madagascar,MDG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.605,2.08
Malawi,MWI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.11,5.739735005
Malaysia,MYS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.99016197,4.744276783
Maldives,MDV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.621868057,4.70523526
Mali,MLI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.78,3.740602031
Malta,MLT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.54,4.774634859
Marshall Islands,MHL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.51,6.51
Mauritania,MRT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.19,2.93
Mauritius,MUS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.38,4.77
Mexico,MEX,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.01,5.209653089
"Micronesia, Fed. Sts.",FSM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,23.62883,23.62883
Moldova,MDA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.72,5.475935037
Monaco,MCO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.3,1.03
Mongolia,MNG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.36,4.550190823
Montenegro,MNE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Morocco,MAR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.2,5.2
Mozambique,MOZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.68,5.38
Myanmar,MMR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.67174181,1.368478074
Namibia,NAM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,8.34,2.889811226
Nauru,NRU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Nepal,NPL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.141709429,3.244980665
Netherlands,NLD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.822784686,4.735509978
New Caledonia,NCL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.538880795,0.538880795
New Zealand,NZL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.97,7.37
Nicaragua,NIC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.1,4.1
Niger,NER,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.4,3.774176245
Nigeria,NGA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.85,0.85
North Macedonia,MKD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.268428697,3.268428697
Northern Mariana Islands,MNP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Norway,NOR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.1,6.360954528
Oman,OMN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.639565406,4.886192021
Pakistan,PAK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.51,1.945868864
Palau,PLW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Panama,PAN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.833333333,2.8
Papua New Guinea,PNG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.9,6.9
Paraguay,PRY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.79,3.740630978
Peru,PER,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.44,3.198667911
Philippines,PHL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.84,1.84
Poland,POL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.99,4.626110843
Portugal,PRT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.45,4.781642676
Puerto Rico,PRI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.105215814,8.624967106
Qatar,QAT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.057368109,2.457864798
Romania,ROU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.18,2.81
Russian Federation,RUS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.554211736,3.658738779
Rwanda,RWA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.18,3.318411155
Samoa,WSM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.24,4.24
San Marino,SMR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.55096,3.55096
Sao Tome and Principe,STP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.66,3.48
Saudi Arabia,SAU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.1861867,7.1861867
Senegal,SEN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.19,4.75735061
Serbia,SRB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.58,3.899028762
Seychelles,SYC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.626,4.281852337
Sierra Leone,SLE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.5,2.713514341
Singapore,SGP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.94,2.76
Sint Maarten (Dutch part),SXM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Slovak Republic,SVK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.71,4.004818318
Slovenia,SVN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.26,4.651585457
Solomon Islands,SLB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.94,9.94
Somalia,SOM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,0.991144636,0.991144636
South Africa,ZAF,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.55,5.877653705
South Sudan,SSD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.070466649,1.670990148
Spain,ESP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.41,4.058199548
Sri Lanka,LKA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.7,1.845555928
St. Kitts and Nevis,KNA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.31,3.31
St. Lucia,LCA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.18,3.734337501
St. Martin (French part),MAF,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
St. Vincent and the Grenadines,VCT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.178572337,5.178572337
Sudan,SDN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.18,2.18
Suriname,SUR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.4447781,3.4447781
Sweden,SWE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.11,7.009318608
Switzerland,CHE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.3,4.478819113
Syrian Arab Republic,SYR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.5960693,2.5960693
Tajikistan,TJK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.583333333,3.767878697
Tanzania,TZA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.73,3.73
Thailand,THA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.541822726,4.186884132
Timor-Leste,TLS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.7,3.168044921
Togo,TGO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.54,4.817920906
Tonga,TON,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.93,2.93
Trinidad and Tobago,TTO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.87,2.87
Tunisia,TUN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.86,5.9
Turkey,TUR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.488407123,3.798198118
Turkmenistan,TKM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.32,2.32
Turks and Caicos Islands,TCA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.596893607,2.596893607
Tuvalu,TUV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Uganda,UGA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.1,1.720146724
Ukraine,UKR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.041056248,5.164140712
United Arab Emirates,ARE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
United Kingdom,GBR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.5,5.530679169
United States,USA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.840966283,4.39647506
Uruguay,URY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.995253337,4.69997439
Uzbekistan,UZB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.3747642,9.3747642
Vanuatu,VUT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.959473518,4.656841107
"Venezuela, RB",VEN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.54,6.54
Vietnam,VNM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.36,4.612260215
Virgin Islands (U.S.),VIR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.3561772,9.3561772
West Bank and Gaza,PSE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
"Yemen, Rep.",YEM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.6,3.6
Zambia,ZMB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.139084021,3.937557388
Zimbabwe,ZWE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.91,1.91
Africa Eastern and Southern,AFE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.592483006,4.407462986
Africa Western and Central,AFW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.878158902,1.741398073
Arab World,ARB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.57910037,4.963700447
Caribbean small states,CSS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.13239372,3.894003945
Central Europe and the Baltics,CEB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.383801539,4.394423375
Early-demographic dividend,EAR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.028884153,4.028270025
East Asia & Pacific,EAS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.844087,2.665512902
East Asia & Pacific (excluding high income),EAP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.098099647,2.071129966
East Asia & Pacific (IDA & IBRD countries),TEA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.098099647,2.071129966
Euro area,EMU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.768477573,4.545017861
Europe & Central Asia,ECS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.797512225,4.722070308
Europe & Central Asia (excluding high income),ECA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.737113237,3.811476926
Europe & Central Asia (IDA & IBRD countries),TEC,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.907124428,3.92296229
